Number,Name,Type,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,image
0001,Bulbasaur,"['Grass', 'Poison']",318,45,49,49,65,65,45,https://img.pokemondb.net/artwork/large/bulbasaur.jpg
0002,Ivysaur,"['Grass', 'Poison']",405,60,62,63,80,80,60,https://img.pokemondb.net/artwork/large/ivysaur.jpg
0003,Venusaur,"['Grass', 'Poison']",525,80,82,83,100,100,80,https://img.pokemondb.net/artwork/large/venusaur.jpg
0003,Venusaur,"['Grass', 'Poison']",625,80,100,123,122,120,80,https://img.pokemondb.net/artwork/large/venusaur-mega.jpg
0004,Charmander,['Fire'],309,39,52,43,60,50,65,https://img.pokemondb.net/artwork/large/charmander.jpg
0005,Charmeleon,['Fire'],405,58,64,58,80,65,80,https://img.pokemondb.net/artwork/large/charmeleon.jpg
0006,Charizard,"['Fire', 'Flying']",534,78,84,78,109,85,100,https://img.pokemondb.net/artwork/large/charizard.jpg
0006,Charizard,"['Fire', 'Dragon']",634,78,130,111,130,85,100,https://img.pokemondb.net/artwork/large/charizard-mega-x.jpg
0006,Charizard,"['Fire', 'Flying']",634,78,104,78,159,115,100,https://img.pokemondb.net/artwork/large/charizard-mega-y.jpg
0007,Squirtle,['Water'],314,44,48,65,50,64,43,https://img.pokemondb.net/artwork/large/squirtle.jpg
0008,Wartortle,['Water'],405,59,63,80,65,80,58,https://img.pokemondb.net/artwork/large/wartortle.jpg
0009,Blastoise,['Water'],530,79,83,100,85,105,78,https://img.pokemondb.net/artwork/large/blastoise.jpg
0009,Blastoise,['Water'],630,79,103,120,135,115,78,https://img.pokemondb.net/artwork/large/blastoise-mega.jpg
0010,Caterpie,['Bug'],195,45,30,35,20,20,45,https://img.pokemondb.net/artwork/large/caterpie.jpg
0011,Metapod,['Bug'],205,50,20,55,25,25,30,https://img.pokemondb.net/artwork/large/metapod.jpg
0012,Butterfree,"['Bug', 'Flying']",395,60,45,50,90,80,70,https://img.pokemondb.net/artwork/large/butterfree.jpg
0013,Weedle,"['Bug', 'Poison']",195,40,35,30,20,20,50,https://img.pokemondb.net/artwork/large/weedle.jpg
0014,Kakuna,"['Bug', 'Poison']",205,45,25,50,25,25,35,https://img.pokemondb.net/artwork/large/kakuna.jpg
0015,Beedrill,"['Bug', 'Poison']",395,65,90,40,45,80,75,https://img.pokemondb.net/artwork/large/beedrill.jpg
0015,Beedrill,"['Bug', 'Poison']",495,65,150,40,15,80,145,https://img.pokemondb.net/artwork/large/beedrill-mega.jpg
0016,Pidgey,"['Normal', 'Flying']",251,40,45,40,35,35,56,https://img.pokemondb.net/artwork/large/pidgey.jpg
0017,Pidgeotto,"['Normal', 'Flying']",349,63,60,55,50,50,71,https://img.pokemondb.net/artwork/large/pidgeotto.jpg
0018,Pidgeot,"['Normal', 'Flying']",479,83,80,75,70,70,101,https://img.pokemondb.net/artwork/large/pidgeot.jpg
0018,Pidgeot,"['Normal', 'Flying']",579,83,80,80,135,80,121,https://img.pokemondb.net/artwork/large/pidgeot-mega.jpg
0019,Rattata,['Normal'],253,30,56,35,25,35,72,https://img.pokemondb.net/artwork/large/rattata.jpg
0019,Rattata,"['Dark', 'Normal']",253,30,56,35,25,35,72,https://img.pokemondb.net/artwork/large/rattata-alolan.jpg
0020,Raticate,['Normal'],413,55,81,60,50,70,97,https://img.pokemondb.net/artwork/large/raticate.jpg
0020,Raticate,"['Dark', 'Normal']",413,75,71,70,40,80,77,https://img.pokemondb.net/artwork/large/raticate-alolan.jpg
0021,Spearow,"['Normal', 'Flying']",262,40,60,30,31,31,70,https://img.pokemondb.net/artwork/large/spearow.jpg
0022,Fearow,"['Normal', 'Flying']",442,65,90,65,61,61,100,https://img.pokemondb.net/artwork/large/fearow.jpg
0023,Ekans,['Poison'],288,35,60,44,40,54,55,https://img.pokemondb.net/artwork/large/ekans.jpg
0024,Arbok,['Poison'],448,60,95,69,65,79,80,https://img.pokemondb.net/artwork/large/arbok.jpg
0025,Pikachu,['Electric'],320,35,55,40,50,50,90,https://img.pokemondb.net/artwork/large/pikachu.jpg
0025,Pikachu,['Electric'],430,45,80,50,75,60,120,https://img.pokemondb.net/artwork/large/pikachu-lets-go.jpg
0026,Raichu,['Electric'],485,60,90,55,90,80,110,https://img.pokemondb.net/artwork/large/raichu.jpg
0026,Raichu,"['Electric', 'Psychic']",485,60,85,50,95,85,110,https://img.pokemondb.net/artwork/large/raichu-alolan.jpg
0027,Sandshrew,['Ground'],300,50,75,85,20,30,40,https://img.pokemondb.net/artwork/large/sandshrew.jpg
0027,Sandshrew,"['Ice', 'Steel']",300,50,75,90,10,35,40,https://img.pokemondb.net/artwork/large/sandshrew-alolan.jpg
0028,Sandslash,['Ground'],450,75,100,110,45,55,65,https://img.pokemondb.net/artwork/large/sandslash.jpg
0028,Sandslash,"['Ice', 'Steel']",450,75,100,120,25,65,65,https://img.pokemondb.net/artwork/large/sandslash-alolan.jpg
0029,Nidoran♀,['Poison'],275,55,47,52,40,40,41,https://img.pokemondb.net/artwork/large/nidoran-f.jpg
0030,Nidorina,['Poison'],365,70,62,67,55,55,56,https://img.pokemondb.net/artwork/large/nidorina.jpg
0031,Nidoqueen,"['Poison', 'Ground']",505,90,92,87,75,85,76,https://img.pokemondb.net/artwork/large/nidoqueen.jpg
0032,Nidoran♂,['Poison'],273,46,57,40,40,40,50,https://img.pokemondb.net/artwork/large/nidoran-m.jpg
0033,Nidorino,['Poison'],365,61,72,57,55,55,65,https://img.pokemondb.net/artwork/large/nidorino.jpg
0034,Nidoking,"['Poison', 'Ground']",505,81,102,77,85,75,85,https://img.pokemondb.net/artwork/large/nidoking.jpg
0035,Clefairy,['Fairy'],323,70,45,48,60,65,35,https://img.pokemondb.net/artwork/large/clefairy.jpg
0036,Clefable,['Fairy'],483,95,70,73,95,90,60,https://img.pokemondb.net/artwork/large/clefable.jpg
0037,Vulpix,['Fire'],299,38,41,40,50,65,65,https://img.pokemondb.net/artwork/large/vulpix.jpg
0037,Vulpix,['Ice'],299,38,41,40,50,65,65,https://img.pokemondb.net/artwork/large/vulpix-alolan.jpg
0038,Ninetales,['Fire'],505,73,76,75,81,100,100,https://img.pokemondb.net/artwork/large/ninetales.jpg
0038,Ninetales,"['Ice', 'Fairy']",505,73,67,75,81,100,109,https://img.pokemondb.net/artwork/large/ninetales-alolan.jpg
0039,Jigglypuff,"['Normal', 'Fairy']",270,115,45,20,45,25,20,https://img.pokemondb.net/artwork/large/jigglypuff.jpg
0040,Wigglytuff,"['Normal', 'Fairy']",435,140,70,45,85,50,45,https://img.pokemondb.net/artwork/large/wigglytuff.jpg
0041,Zubat,"['Poison', 'Flying']",245,40,45,35,30,40,55,https://img.pokemondb.net/artwork/large/zubat.jpg
0042,Golbat,"['Poison', 'Flying']",455,75,80,70,65,75,90,https://img.pokemondb.net/artwork/large/golbat.jpg
0043,Oddish,"['Grass', 'Poison']",320,45,50,55,75,65,30,https://img.pokemondb.net/artwork/large/oddish.jpg
0044,Gloom,"['Grass', 'Poison']",395,60,65,70,85,75,40,https://img.pokemondb.net/artwork/large/gloom.jpg
0045,Vileplume,"['Grass', 'Poison']",490,75,80,85,110,90,50,https://img.pokemondb.net/artwork/large/vileplume.jpg
0046,Paras,"['Bug', 'Grass']",285,35,70,55,45,55,25,https://img.pokemondb.net/artwork/large/paras.jpg
0047,Parasect,"['Bug', 'Grass']",405,60,95,80,60,80,30,https://img.pokemondb.net/artwork/large/parasect.jpg
0048,Venonat,"['Bug', 'Poison']",305,60,55,50,40,55,45,https://img.pokemondb.net/artwork/large/venonat.jpg
0049,Venomoth,"['Bug', 'Poison']",450,70,65,60,90,75,90,https://img.pokemondb.net/artwork/large/venomoth.jpg
0050,Diglett,['Ground'],265,10,55,25,35,45,95,https://img.pokemondb.net/artwork/large/diglett.jpg
0050,Diglett,"['Ground', 'Steel']",265,10,55,30,35,45,90,https://img.pokemondb.net/artwork/large/diglett-alolan.jpg
0051,Dugtrio,['Ground'],425,35,100,50,50,70,120,https://img.pokemondb.net/artwork/large/dugtrio.jpg
0051,Dugtrio,"['Ground', 'Steel']",425,35,100,60,50,70,110,https://img.pokemondb.net/artwork/large/dugtrio-alolan.jpg
0052,Meowth,['Normal'],290,40,45,35,40,40,90,https://img.pokemondb.net/artwork/large/meowth.jpg
0052,Meowth,['Dark'],290,40,35,35,50,40,90,https://img.pokemondb.net/artwork/large/meowth-alolan.jpg
0052,Meowth,['Steel'],290,50,65,55,40,40,40,https://img.pokemondb.net/artwork/large/meowth-galarian.jpg
